trip_id,date,driver_id,origin,dest,o_lat,o_lon,d_lat,d_lon,distance_km,load_ton,traffic_index,elevation_gain_m,avg_speed_kmh,duration_h,fuel_liters
T495,2025-01-10,D008,Tacna,Ica,-18.06012,-70.27363,-14.09954,-75.66014,724.56,14.6,0.41,735,54.6,12.77,183.1
T496,2025-01-11,D030,Chiclayo,Trujillo,-6.82547,-79.84508,-8.08531,-79.04646,165.46,17.0,0.92,202,37.8,4.13,111.5
T497,2025-01-11,D028,Trujillo,Lima,-8.15583,-78.95768,-12.0515,-77.17221,475.22,10.5,0.88,535,30.8,18.2,159.3
T498,2025-01-11,D036,Arequipa,Chiclayo,-16.35301,-71.46124,-6.73845,-79.8472,1405.48,3.6,0.46,0,54.9,31.28,380.7
T499,2025-01-11,D024,Arequipa,Cusco,-16.39718,-71.63638,-13.56155,-71.92931,316.87,4.4,0.51,794,50.7,7.84,87.8
T500,2025-01-11,D027,Cusco,Puno,-13.55797,-71.88891,-15.79284,-69.97747,322.53,14.8,0.32,26,42.2,8.48,113.0
T501,2025-01-11,D024,Cusco,Arequipa,-13.50159,-71.94063,-16.45525,-71.58296,330.67,10.4,0.46,640,52.3,8.04,106.0
T502,2025-01-11,D038,Arequipa,Cusco,-16.42986,-71.5018,-13.57231,-71.85187,319.96,1.9,0.28,446,55.0,5.78,75.7
T503,2025-01-11,D032,Arequipa,Tacna,-16.45271,-71.46767,-18.04235,-70.24824,219.12,26.0,0.75,595,50.1,4.3,135.4
T504,2025-01-11,D014,Arequipa,Trujillo,-16.38033,-71.57652,-8.14237,-79.04262,1223.07,21.8,0.4,346,54.4,25.5,387.6
T505,2025-01-11,D004,Lima,Puno,-11.95803,-77.15309,-15.89912,-70.06195,881.72,6.2,0.75,36,35.7,30.19,225.3
T506,2025-01-11,D028,Chiclayo,Cusco,-6.8837,-79.85787,-13.5225,-71.9847,1134.18,15.3,0.24,507,55.5,20.21,326.1
T507,2025-01-11,D004,Tacna,Lima,-17.98292,-70.32477,-12.17033,-77.03117,967.28,12.9,0.17,486,49.5,19.35,256.2
T508,2025-01-11,D023,Ica,Tacna,-14.04237,-75.7576,-17.99785,-70.16133,742.29,10.5,0.05,391,63.2,14.78,212.1
T509,2025-01-11,D032,Ica,Chiclayo,-14.03866,-75.67936,-6.81106,-79.90268,926.76,7.9,0.52,256,39.2,25.65,278.2
T510,2025-01-11,D013,Chiclayo,Lima,-6.801,-79.78384,-12.12023,-76.96433,667.38,7.8,0.81,708,49.5,15.49,176.0
T511,2025-01-11,D025,Puno,Arequipa,-15.81398,-70.06873,-16.46569,-71.60981,179.85,19.1,0.46,208,52.0,4.15,95.0
T512,2025-01-11,D019,Trujillo,Tacna,-8.03586,-79.0943,-18.01146,-70.22527,1466.55,2.3,0.28,0,41.5,36.51,343.1
T513,2025-01-11,D001,Puno,Arequipa,-15.86569,-70.07883,-16.39771,-71.51281,164.2,19.5,0.95,549,42.9,4.33,81.4
T514,2025-01-11,D038,Trujillo,Chiclayo,-8.08483,-79.00337,-6.82525,-79.88802,170.67,15.0,0.49,363,44.5,4.34,71.1
T515,2025-01-11,D029,Lima,Cusco,-12.0791,-77.00448,-13.48245,-71.99926,564.73,15.5,0.69,207,38.8,15.08,148.4
T516,2025-01-11,D017,Tacna,Lima,-17.96559,-70.19291,-11.97943,-77.0265,990.59,17.8,0.49,179,51.2,18.69,326.0
T517,2025-01-11,D016,Trujillo,Arequipa,-8.09817,-78.97383,-16.34119,-71.60669,1216.48,8.6,0.62,825,45.1,26.44,309.1
T518,2025-01-11,D014,Chiclayo,Puno,-6.93904,-79.85231,-15.86075,-69.97756,1462.86,17.6,0.26,543,54.4,33.3,404.5
T519,2025-01-11,D030,Arequipa,Trujillo,-16.45937,-71.58407,-8.10052,-79.07647,1234.99,22.1,0.76,104,61.6,22.35,385.4
T520,2025-01-11,D036,Puno,Arequipa,-15.82188,-70.02742,-16.41984,-71.59104,179.78,28.2,0.29,66,57.5,3.79,86.0
T521,2025-01-11,D028,Tacna,Puno,-17.97879,-70.28592,-15.85168,-70.03943,237.97,3.1,0.53,461,51.3,4.23,67.7
T522,2025-01-11,D030,Lima,Ica,-12.05267,-76.95299,-14.02927,-75.6322,262.25,15.0,0.28,135,36.0,7.19,88.9
T523,2025-01-11,D001,Chiclayo,Trujillo,-6.73834,-79.87364,-8.14161,-79.07484,179.18,9.9,0.46,134,36.1,6.42,69.1
T524,2025-01-11,D023,Lima,Trujillo,-12.11419,-77.08707,-8.07304,-79.03339,497.29,16.4,0.54,290,36.4,15.45,165.4
T525,2025-01-11,D001,Ica,Trujillo,-14.08627,-75.68076,-8.0995,-78.93277,754.28,21.8,0.52,655,54.2,17.67,237.8
T526,2025-01-11,D001,Puno,Arequipa,-15.83362,-70.05864,-16.38228,-71.47284,162.93,7.2,0.72,199,42.8,4.13,63.9
T527,2025-01-11,D017,Puno,Ica,-15.87348,-70.03406,-14.1659,-75.75745,643.29,24.0,0.83,337,38.4,21.14,194.5
T528,2025-01-11,D007,Lima,Chiclayo,-12.05397,-77.01547,-6.69956,-79.72062,665.2,1.0,0.82,185,33.7,18.43,165.8
T529,2025-01-11,D008,Chiclayo,Trujillo,-6.74742,-79.76584,-8.0683,-78.99016,169.96,16.0,0.63,61,37.9,4.61,72.4
T530,2025-01-11,D019,Trujillo,Cusco,-8.11861,-78.96915,-13.55871,-71.99786,972.14,16.5,0.68,273,59.3,17.99,333.3
T531,2025-01-11,D018,Trujillo,Chiclayo,-8.10132,-79.0316,-6.82139,-79.80138,165.7,14.2,0.73,371,32.1,5.84,90.5
T532,2025-01-11,D016,Ica,Puno,-14.00975,-75.73613,-15.74875,-69.94854,651.29,9.4,0.47,475,41.1,16.12,190.9
T533,2025-01-11,D008,Arequipa,Trujillo,-16.3029,-71.5271,-8.20121,-79.08,1218.12,32.3,0.66,133,48.4,24.58,336.4
T534,2025-01-11,D001,Tacna,Chiclayo,-17.93474,-70.1968,-6.76214,-79.87981,1626.51,10.2,0.54,430,57.8,27.81,504.7
T535,2025-01-11,D012,Trujillo,Cusco,-8.13393,-79.04781,-13.46251,-71.90269,979.61,10.9,0.29,469,54.3,23.25,309.9
T536,2025-01-11,D030,Arequipa,Trujillo,-16.39384,-71.59199,-8.14957,-78.99516,1219.06,11.2,0.59,0,54.0,23.62,392.8
T537,2025-01-11,D034,Puno,Tacna,-15.82019,-69.9726,-18.06115,-70.26635,251.13,19.0,0.53,569,70.1,3.95,110.4
T538,2025-01-11,D026,Trujillo,Arequipa,-8.08677,-79.09642,-16.35511,-71.42674,1240.4,1.0,0.12,0,57.3,27.25,256.0
T539,2025-01-12,D009,Trujillo,Arequipa,-8.10928,-79.01992,-16.39471,-71.54957,1227.34,10.9,0.79,573,67.1,21.7,401.5
T540,2025-01-12,D027,Puno,Arequipa,-15.80603,-70.07031,-16.40314,-71.49354,165.91,16.0,0.76,694,51.3,3.45,82.4
T541,2025-01-12,D022,Tacna,Cusco,-17.96515,-70.29266,-13.55275,-71.94485,521.5,1.0,0.46,653,60.1,8.18,165.5
T542,2025-01-12,D004,Puno,Trujillo,-15.86782,-70.0338,-8.18468,-79.05896,1300.59,5.1,0.89,571,46.9,31.8,304.2
T543,2025-01-12,D015,Lima,Arequipa,-12.0597,-77.0971,-16.4725,-71.5574,772.62,1.0,0.33,334,58.6,12.62,269.3
T544,2025-01-12,D018,Tacna,Cusco,-18.02275,-70.30989,-13.60934,-71.99847,522.92,18.7,0.84,325,41.6,13.39,193.1
T545,2025-01-12,D015,Tacna,Trujillo,-18.01934,-70.23433,-8.16535,-79.09151,1455.36,24.1,0.3,13,45.3,41.36,458.7
T546,2025-01-12,D016,Ica,Arequipa,-14.09074,-75.70605,-16.36463,-71.54595,512.95,10.7,0.47,179,76.0,7.15,157.7
T547,2025-01-12,D028,Puno,Lima,-15.78334,-70.01084,-12.1204,-77.06662,863.35,10.6,0.8,260,52.4,20.03,256.9
T548,2025-01-12,D014,Lima,Trujillo,-12.09363,-77.15275,-8.10296,-79.0139,488.26,26.4,0.71,0,49.7,8.88,174.0
T549,2025-01-12,D021,Ica,Puno,-14.1208,-75.7414,-15.85871,-69.99042,647.2,1.0,0.32,507,62.7,10.44,137.2
T550,2025-01-12,D021,Cusco,Ica,-13.50149,-71.95351,-14.11593,-75.72341,412.76,8.3,0.3,645,34.0,13.95,108.7
T551,2025-01-12,D016,Cusco,Arequipa,-13.53817,-71.98585,-16.40361,-71.43211,324.13,1.0,0.05,47,69.2,4.66,66.4
T552,2025-01-12,D036,Cusco,Puno,-13.535,-72.04736,-15.81419,-69.9959,336.03,17.7,0.59,532,49.1,8.63,138.1
T553,2025-01-12,D025,Puno,Ica,-15.8482,-69.97521,-14.07456,-75.72127,647.97,12.5,0.13,12,58.6,12.79,161.1
T554,2025-01-12,D033,Tacna,Arequipa,-17.81703,-70.2301,-16.43133,-71.52542,206.61,13.1,0.21,592,33.1,7.79,89.7
T555,2025-01-12,D001,Arequipa,Tacna,-16.34634,-71.53678,-18.06126,-70.32608,230.0,7.4,0.66,450,54.7,5.03,86.8
T556,2025-01-12,D037,Trujillo,Puno,-8.09214,-79.0453,-15.81314,-70.07096,1299.41,28.5,0.38,455,51.7,27.41,381.6
T557,2025-01-12,D026,Arequipa,Lima,-16.40143,-71.51216,-12.15703,-77.03717,759.61,12.6,0.09,167,49.0,19.78,252.8
T558,2025-01-12,D036,Trujillo,Arequipa,-8.10534,-78.95105,-16.34902,-71.50489,1222.18,26.5,0.47,83,60.5,20.8,298.2
T559,2025-01-12,D033,Chiclayo,Puno,-6.77112,-79.7891,-15.87789,-70.01672,1468.97,2.6,0.06,489,61.6,25.89,317.5
T560,2025-01-12,D021,Trujillo,Puno,-8.0328,-78.91878,-15.89893,-70.00933,1304.82,4.5,0.49,0,70.5,23.44,330.0
T561,2025-01-12,D030,Ica,Trujillo,-14.15727,-75.80605,-8.1714,-79.01758,752.09,4.6,0.21,570,57.1,11.89,232.0
T562,2025-01-12,D027,Lima,Ica,-12.1035,-77.07447,-14.02498,-75.8249,252.92,1.0,0.73,0,32.4,7.22,76.7
T563,2025-01-12,D028,Tacna,Cusco,-18.09884,-70.23847,-13.48734,-71.95566,544.68,19.9,0.36,529,42.2,11.79,181.0
T564,2025-01-12,D013,Cusco,Puno,-13.51308,-71.90051,-15.73378,-69.99283,321.09,10.1,1.0,777,26.1,12.67,147.0
T565,2025-01-12,D032,Lima,Puno,-12.09307,-76.92929,-15.85627,-70.00737,855.97,6.7,0.69,687,60.9,14.79,240.5
T566,2025-01-12,D027,Ica,Cusco,-14.06773,-75.73274,-13.49998,-71.98825,409.27,15.9,0.17,174,60.9,8.23,137.6
T567,2025-01-12,D014,Arequipa,Trujillo,-16.35575,-71.53673,-8.11519,-78.95693,1220.04,13.8,0.59,0,42.3,33.71,358.3
T568,2025-01-12,D013,Ica,Puno,-14.10058,-75.74059,-15.83227,-70.08925,636.85,14.5,0.77,180,54.4,11.37,178.6
T569,2025-01-12,D039,Chiclayo,Tacna,-6.81208,-79.75366,-17.97233,-70.28201,1610.65,14.2,0.84,170,35.7,45.61,437.9
T570,2025-01-12,D032,Puno,Cusco,-15.7971,-69.9644,-13.49492,-71.9653,334.46,19.2,0.49,16,50.3,8.44,122.3
T571,2025-01-12,D038,Ica,Tacna,-14.08651,-75.86415,-17.99703,-70.22626,742.88,16.9,0.4,128,56.8,16.74,218.5
T572,2025-01-12,D024,Chiclayo,Lima,-6.69532,-79.82591,-12.05138,-76.97622,672.58,11.6,0.06,617,60.3,11.52,168.0
T573,2025-01-12,D012,Lima,Tacna,-11.95417,-77.02258,-17.93404,-70.19738,989.53,18.2,0.63,400,60.2,18.9,267.0
T574,2025-01-12,D030,Chiclayo,Puno,-6.74804,-79.89124,-15.91747,-70.07827,1476.94,26.0,0.75,414,51.4,31.02,499.0
T575,2025-01-12,D022,Cusco,Ica,-13.53641,-71.98686,-14.05699,-75.73787,409.17,11.4,0.19,568,76.6,4.92,104.1
T576,2025-01-12,D014,Ica,Arequipa,-13.88843,-75.69257,-16.27404,-71.49564,522.85,20.0,0.84,431,45.4,12.36,186.9
T577,2025-01-12,D035,Trujillo,Puno,-8.11432,-79.08853,-15.82832,-70.06142,1303.15,1.0,0.12,598,59.8,25.86,321.2
T578,2025-01-12,D005,Arequipa,Tacna,-16.45228,-71.54769,-17.99002,-70.23023,220.94,16.5,0.52,567,38.5,7.35,98.0
T579,2025-01-12,D008,Lima,Arequipa,-12.02344,-76.99304,-16.36437,-71.52641,761.61,22.6,0.59,144,63.0,12.02,200.3
T580,2025-01-12,D036,Cusco,Arequipa,-13.64954,-71.9967,-16.39951,-71.60495,308.66,16.7,0.17,0,49.6,7.69,106.1
T581,2025-01-12,D032,Trujillo,Chiclayo,-8.08442,-79.09376,-6.76999,-79.81696,166.49,26.6,0.38,123,46.4,3.52,94.2
T582,2025-01-12,D030,Arequipa,Chiclayo,-16.34971,-71.51075,-6.75849,-79.78857,1395.87,7.5,0.14,321,55.1,24.28,292.1
T583,2025-01-12,D030,Ica,Arequipa,-14.0809,-75.75272,-16.49415,-71.44843,533.96,11.2,0.78,354,43.3,15.65,169.6
T584,2025-01-12,D004,Trujillo,Arequipa,-8.17289,-79.06522,-16.43329,-71.53553,1229.42,8.8,0.69,347,34.3,36.31,313.0
T585,2025-01-12,D003,Lima,Tacna,-12.11154,-77.11924,-17.94113,-70.15579,989.34,9.4,0.64,9,34.9,27.23,282.8
T586,2025-01-12,D040,Lima,Puno,-12.1087,-77.08182,-15.77378,-70.00045,865.93,1.0,0.57,192,45.9,18.78,276.0
T587,2025-01-13,D012,Cusco,Chiclayo,-13.50447,-71.90801,-6.80644,-79.83028,1142.64,1.0,0.37,148,53.9,22.33,321.7
T588,2025-01-13,D021,Lima,Trujillo,-11.96103,-77.00828,-8.06627,-79.0147,485.6,9.3,0.5,622,52.9,11.91,170.0
T589,2025-01-13,D031,Arequipa,Trujillo,-16.4295,-71.53386,-8.09249,-79.0017,1231.45,28.0,0.44,0,23.9,66.65,387.9
T590,2025-01-13,D026,Cusco,Ica,-13.63295,-72.03785,-14.03173,-75.69443,397.28,8.8,1.0,191,45.3,10.01,146.8
T591,2025-01-13,D033,Ica,Arequipa,-14.10099,-75.70256,-16.3205,-71.54677,509.62,10.0,0.22,328,61.9,10.58,157.4
T592,2025-01-13,D020,Tacna,Puno,-17.9784,-70.27558,-15.79058,-69.92814,246.07,17.0,0.52,478,52.5,4.46,111.6
T593,2025-01-13,D033,Trujillo,Tacna,-8.00747,-78.9332,-18.00581,-70.22224,1457.39,18.2,0.52,413,37.3,37.24,387.0
T594,2025-01-13,D011,Trujillo,Puno,-8.08414,-79.01665,-15.81099,-70.01564,1302.03,11.2,0.49,124,37.0,33.06,294.2
T595,2025-01-13,D012,Lima,Arequipa,-12.06976,-77.07725,-16.45654,-71.46445,776.9,17.1,0.34,339,31.3,23.33,229.1
T596,2025-01-13,D010,Tacna,Arequipa,-17.94111,-70.16428,-16.47566,-71.55729,220.1,7.4,0.48,348,52.3,4.31,83.3
T597,2025-01-13,D020,Lima,Ica,-12.0915,-76.99051,-14.13243,-75.77456,262.37,13.3,0.32,342,55.6,5.99,81.8
T598,2025-01-13,D003,Trujillo,Tacna,-8.06985,-78.99561,-17.99723,-70.1952,1457.63,8.5,0.59,99,54.4,29.59,424.4
T599,2025-01-13,D004,Lima,Chiclayo,-12.02397,-77.05375,-6.76127,-79.78302,657.28,8.6,0.92,432,32.9,21.72,153.3
T600,2025-01-13,D028,Tacna,Puno,-18.01516,-70.26038,-15.82355,-70.0395,244.83,12.4,0.63,0,54.9,4.7,83.4
T601,2025-01-13,D023,Lima,Trujillo,-12.01331,-77.07371,-8.03154,-79.01056,490.91,7.5,0.76,182,38.3,12.05,155.3
T602,2025-01-13,D040,Arequipa,Ica,-16.40332,-71.48664,-14.04864,-75.65879,518.55,13.2,0.35,572,56.8,11.69,178.9
T603,2025-01-13,D020,Ica,Trujillo,-14.12386,-75.69945,-8.12066,-79.02368,759.61,9.3,0.61,457,43.6,17.24,215.6
T604,2025-01-13,D002,Trujillo,Ica,-8.12298,-78.98473,-14.12418,-75.69582,757.58,5.6,0.37,413,69.5,12.77,206.7
T605,2025-01-13,D006,Cusco,Trujillo,-13.51667,-71.97801,-7.93694,-79.10102,994.98,25.2,0.81,269,44.7,27.08,312.7
T606,2025-01-13,D024,Tacna,Puno,-18.08469,-70.31013,-15.9034,-70.0107,244.63,5.6,0.28,447,64.1,4.94,66.6
T607,2025-01-13,D013,Ica,Lima,-14.10578,-75.66258,-11.95922,-77.0308,280.96,14.6,0.69,218,54.3,4.75,98.6
T608,2025-01-13,D011,Arequipa,Tacna,-16.36008,-71.49469,-17.98889,-70.23415,225.24,10.5,0.64,532,38.1,6.64,93.6
T609,2025-01-13,D018,Chiclayo,Cusco,-6.66571,-79.82753,-13.60691,-71.94008,1157.61,6.7,0.51,4,47.7,30.59,319.3
T610,2025-01-13,D021,Arequipa,Chiclayo,-16.42395,-71.57764,-6.76573,-79.81787,1398.85,9.3,0.43,89,44.0,38.53,295.0
T611,2025-01-13,D034,Tacna,Cusco,-17.90649,-70.28375,-13.4969,-72.03299,524.84,10.8,0.49,499,31.5,17.15,187.2
T612,2025-01-13,D011,Cusco,Chiclayo,-13.4797,-71.99258,-6.74982,-79.8449,1139.25,15.2,0.67,394,51.7,21.14,307.7
T613,2025-01-13,D027,Chiclayo,Arequipa,-6.78726,-79.88116,-16.37448,-71.58363,1396.86,7.3,0.05,225,68.4,23.05,356.7
T614,2025-01-13,D013,Tacna,Puno,-18.05916,-70.26282,-15.87131,-70.08733,243.99,11.1,0.62,644,33.2,7.71,106.4
T615,2025-01-13,D037,Puno,Cusco,-15.80714,-69.93881,-13.52458,-72.03952,339.82,9.3,0.18,558,61.5,6.38,94.0
T616,2025-01-13,D019,Lima,Trujillo,-12.05149,-77.10204,-8.22062,-79.10797,479.21,15.5,0.56,784,41.9,10.91,141.3
T617,2025-01-13,D034,Lima,Ica,-12.01524,-77.0716,-14.107,-75.68735,276.73,14.7,0.5,417,40.1,8.09,123.7
T618,2025-01-13,D024,Lima,Puno,-12.0917,-77.00317,-15.95208,-70.03582,865.41,6.7,0.37,611,52.1,16.62,237.7
T619,2025-01-13,D032,Lima,Chiclayo,-12.05721,-77.01656,-6.77589,-79.74072,658.86,3.2,0.49,599,55.1,10.83,181.6
T620,2025-01-13,D021,Cusco,Trujillo,-13.55837,-72.00085,-8.1892,-79.07596,976.13,11.2,0.91,125,49.1,19.47,313.5
T621,2025-01-13,D020,Arequipa,Lima,-16.4335,-71.56755,-12.11046,-77.04374,760.99,20.3,0.62,616,41.6,19.08,272.6
T622,2025-01-13,D010,Trujillo,Ica,-8.11437,-79.06424,-14.11697,-75.67576,762.92,14.4,0.9,0,43.1,21.32,253.2
T623,2025-01-13,D009,Puno,Lima,-15.79561,-70.08398,-12.07592,-77.14192,866.6,15.0,0.48,186,40.4,24.06,266.5
T624,2025-01-13,D036,Lima,Arequipa,-12.10061,-77.0116,-16.41857,-71.53041,761.08,10.8,0.56,3,45.2,18.28,245.5
T625,2025-01-13,D038,Trujillo,Arequipa,-8.10723,-79.07434,-16.38972,-71.5344,1232.11,13.9,0.62,37,64.3,20.46,282.4
T626,2025-01-13,D002,Chiclayo,Trujillo,-6.76804,-79.82004,-8.14216,-79.12564,170.9,12.8,0.96,0,38.7,4.58,86.1
T627,2025-01-13,D024,Trujillo,Lima,-8.1304,-79.00058,-12.01715,-77.12937,478.26,9.2,0.54,0,49.2,9.53,128.9
T628,2025-01-13,D037,Cusco,Arequipa,-13.60024,-71.95982,-16.32171,-71.55567,305.71,3.7,0.6,147,39.4,7.05,87.3
T629,2025-01-13,D007,Trujillo,Chiclayo,-8.08875,-78.99475,-6.78512,-79.82535,171.46,26.7,0.26,245,58.8,3.33,87.6
T630,2025-01-14,D020,Lima,Trujillo,-12.07938,-77.0758,-8.2194,-78.99877,478.02,13.2,0.45,487,43.0,13.04,154.8
T631,2025-01-14,D039,Lima,Tacna,-12.03072,-76.96467,-17.99017,-70.29571,975.47,12.0,0.43,0,51.8,20.67,315.6
T632,2025-01-14,D021,Arequipa,Ica,-16.34393,-71.49175,-14.01997,-75.76797,526.61,7.3,0.72,0,51.7,13.2,158.5
T633,2025-01-14,D032,Tacna,Lima,-18.13722,-70.23279,-12.03111,-76.96348,991.24,9.3,0.43,84,53.9,21.6,283.7
T634,2025-01-14,D037,Ica,Lima,-14.00569,-75.72439,-12.0737,-77.09053,260.86,19.9,0.22,273,43.1,7.47,98.7
T635,2025-01-14,D040,Cusco,Chiclayo,-13.55393,-71.94383,-6.714,-79.9028,1156.03,15.1,0.48,100,49.8,30.14,289.9
T636,2025-01-14,D028,Lima,Ica,-12.04114,-77.02595,-14.0758,-75.79665,262.52,13.0,0.57,349,60.0,4.39,105.2
T637,2025-01-14,D006,Ica,Trujillo,-14.06108,-75.71573,-8.15418,-79.10378,753.61,21.8,0.4,328,58.6,14.5,259.9
T638,2025-01-14,D029,Puno,Ica,-15.84123,-69.98012,-14.12592,-75.70278,643.56,1.0,0.22,709,72.0,10.82,144.3
T639,2025-01-14,D011,Puno,Tacna,-15.84689,-70.04808,-17.89938,-70.23926,229.13,32.0,0.35,35,47.2,4.88,99.0
T640,2025-01-14,D027,Cusco,Chiclayo,-13.49378,-71.95331,-6.7516,-79.93652,1150.95,21.4,0.22,687,43.5,28.33,337.7
T641,2025-01-14,D005,Trujillo,Tacna,-8.14544,-78.98277,-17.98953,-70.29697,1442.45,9.7,0.14,152,67.5,26.19,314.9
T642,2025-01-14,D001,Trujillo,Ica,-8.17264,-79.03561,-14.16722,-75.7209,758.24,12.3,0.38,440,55.7,14.06,250.9
T643,2025-01-14,D005,Ica,Tacna,-14.0232,-75.7467,-18.05549,-70.31963,732.95,15.9,0.28,522,73.9,10.91,229.6
T644,2025-01-14,D036,Puno,Lima,-15.82267,-70.03963,-12.01022,-77.04567,866.73,14.9,0.49,0,63.3,14.97,275.3
T645,2025-01-14,D016,Trujillo,Lima,-8.21613,-79.00438,-12.06045,-77.00576,480.18,20.8,0.8,388,39.3,15.09,168.0
T646,2025-01-14,D014,Tacna,Ica,-17.96929,-70.27164,-14.00652,-75.67545,726.39,14.7,0.22,0,56.0,14.62,173.8
T647,2025-01-14,D023,Cusco,Arequipa,-13.55972,-71.96388,-16.38196,-71.56246,316.77,20.7,0.66,362,24.4,12.17,132.6
T648,2025-01-14,D030,Tacna,Cusco,-17.96109,-70.16489,-13.52097,-71.98506,530.74,17.1,0.35,466,54.2,11.23,205.6
T649,2025-01-14,D032,Puno,Ica,-15.81746,-69.98836,-13.99673,-75.76826,653.18,6.5,0.12,142,49.0,12.98,164.8
T650,2025-01-14,D026,Cusco,Puno,-13.60457,-71.98004,-15.99351,-70.02568,338.67,4.8,0.72,388,58.9,7.43,113.7
T651,2025-01-14,D008,Lima,Trujillo,-12.04272,-77.03551,-8.15334,-79.02065,483.99,16.1,1.0,0,39.9,12.73,159.1
T652,2025-01-14,D028,Ica,Chiclayo,-14.0053,-75.64089,-6.76332,-79.89431,929.82,7.5,0.33,0,50.2,22.41,251.3
T653,2025-01-14,D008,Ica,Arequipa,-14.02499,-75.74554,-16.37636,-71.48205,526.9,5.7,0.55,129,54.2,10.46,162.7
T654,2025-01-14,D015,Cusco,Tacna,-13.48707,-71.89505,-18.01928,-70.24624,533.94,6.8,0.32,31,46.7,10.29,159.8
T655,2025-01-14,D025,Tacna,Chiclayo,-18.04775,-70.27278,-6.72074,-79.84617,1631.95,3.5,0.5,87,39.0,48.04,469.1
T656,2025-01-14,D015,Cusco,Arequipa,-13.52648,-71.95467,-16.45545,-71.47004,329.82,5.0,0.35,470,57.3,6.67,83.3
T657,2025-01-14,D008,Tacna,Chiclayo,-17.99293,-70.30673,-6.74452,-79.81325,1620.66,14.5,0.09,0,77.9,21.02,419.0
T658,2025-01-14,D028,Lima,Arequipa,-12.02531,-77.03388,-16.45044,-71.4996,773.1,16.9,0.63,111,40.7,20.66,198.3
T659,2025-01-14,D025,Cusco,Tacna,-13.48575,-71.99615,-17.95778,-70.20646,532.87,1.0,0.86,504,36.7,16.15,107.5
T660,2025-01-14,D012,Lima,Trujillo,-12.09655,-77.01056,-8.04231,-79.04678,502.9,5.6,0.68,492,53.3,12.14,162.4
T661,2025-01-14,D002,Tacna,Trujillo,-17.97218,-70.28299,-8.14319,-79.06982,1448.35,15.1,0.62,338,59.3,23.88,347.5
T662,2025-01-14,D001,Arequipa,Puno,-16.51718,-71.54529,-15.81386,-69.95934,186.56,16.1,0.05,654,54.7,4.38,64.5
T663,2025-01-14,D026,Ica,Chiclayo,-14.20765,-75.73706,-6.8213,-79.85664,936.54,14.7,0.88,539,39.0,28.5,294.1
T664,2025-01-14,D011,Cusco,Tacna,-13.5207,-71.93556,-18.04649,-70.43842,528.11,17.0,0.55,203,60.6,8.82,140.1
T665,2025-01-14,D013,Cusco,Lima,-13.45949,-71.92007,-12.09472,-77.03465,575.0,10.8,0.46,811,51.8,11.45,191.9
T666,2025-01-14,D036,Chiclayo,Ica,-6.75815,-79.81632,-14.11903,-75.69907,933.99,1.0,0.66,495,47.4,21.09,265.3
T667,2025-01-14,D010,Puno,Cusco,-15.82326,-70.05368,-13.52489,-72.02009,331.74,13.4,0.12,756,65.2,4.84,90.0
T668,2025-01-14,D002,Trujillo,Puno,-8.08939,-79.04385,-15.86696,-70.07116,1303.36,10.9,0.4,0,48.6,29.59,382.3
T669,2025-01-14,D040,Trujillo,Arequipa,-8.10746,-79.0252,-16.54593,-71.54749,1240.52,16.3,0.05,627,65.9,18.96,425.6
T670,2025-01-14,D038,Chiclayo,Puno,-6.81753,-79.85277,-15.90328,-70.08905,1466.58,7.0,0.32,454,52.1,32.24,412.2
T671,2025-01-14,D032,Chiclayo,Tacna,-6.74005,-79.88274,-17.99347,-70.24357,1630.27,16.3,0.05,464,60.0,31.04,431.0
T672,2025-01-14,D028,Trujillo,Lima,-8.04303,-79.08794,-12.07869,-77.0234,502.44,6.6,0.49,941,76.2,7.79,160.7
T673,2025-01-14,D011,Ica,Lima,-14.00203,-75.76041,-12.02602,-77.11454,264.19,13.7,0.85,172,45.4,5.76,102.5
T674,2025-01-14,D040,Arequipa,Cusco,-16.45834,-71.4887,-13.58253,-71.98039,324.11,14.7,0.58,759,31.0,12.91,130.4
T675,2025-01-14,D004,Puno,Lima,-15.89986,-69.94862,-11.97167,-77.0844,885.18,13.9,0.4,1147,66.4,13.28,237.7
T676,2025-01-14,D024,Chiclayo,Arequipa,-6.80821,-79.82259,-16.34101,-71.59516,1387.34,1.0,0.82,173,52.4,24.2,425.6
T677,2025-01-14,D035,Puno,Arequipa,-15.82166,-69.97373,-16.37561,-71.49357,173.66,13.0,0.86,747,36.1,4.98,80.1
T678,2025-01-14,D010,Lima,Chiclayo,-12.14778,-77.06106,-6.76604,-79.79804,669.45,10.0,1.0,183,44.8,15.8,249.1
T679,2025-01-14,D025,Puno,Ica,-15.79607,-70.01215,-14.03685,-75.73128,644.85,3.0,0.64,545,40.0,18.25,183.4
T680,2025-01-14,D015,Lima,Cusco,-12.11337,-77.05595,-13.56171,-71.96323,575.11,5.9,0.54,561,47.4,11.08,168.0
T681,2025-01-15,D003,Ica,Chiclayo,-14.02766,-75.69212,-6.83267,-79.95511,925.79,10.5,0.75,157,42.8,23.66,262.6
T682,2025-01-15,D030,Trujillo,Chiclayo,-8.07564,-79.02681,-6.77345,-79.83417,169.97,9.1,0.5,623,31.1,5.14,72.5
T683,2025-01-15,D011,Ica,Puno,-14.10393,-75.79396,-15.90077,-70.03248,650.22,1.0,0.49,73,59.5,13.1,173.7
